"Source:","D:\Resources\Personnal_GitHub\twankm\1001_macro_keypad\PCBs\00_Practice_555\555_practice\555_practice.kicad_sch"
"Date:","5/17/2023 9:46:46 AM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","1","BAT1","BS-7","dk_Battery-Holders-Clips-Contacts:BS-7","LED_THT:LED_D3.0mm","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","","Battery Products","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","/product-detail/en/mpd-memory-protection-devices/BS-7/BS-7-ND/389447","BATTERY HOLDER COIN 20MM PC PIN","BS-7-ND","Battery Holders, Clips, Contacts","BS-7","MPD (Memory Protection Devices)","Active"
"2","1","C1","100uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"3","1","C2","10uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","",""
"4","2","D1, D2","RED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","","",""
"5","1","Q1","2N3904","Transistor_BJT:2N3904","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","","","","","",""
"6","2","R1, R3","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"7","1","R2","330k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"8","3","R4, R6, R7","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"9","1","R5","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"10","1","S1","EG1218","dk_Slide-Switches:EG1218","digikey-footprints:Switch_Slide_11.6x4mm_EG1218","http://spec_sheets.e-switch.com/specs/P040040.pdf","","Switches","http://spec_sheets.e-switch.com/specs/P040040.pdf","/product-detail/en/e-switch/EG1218/EG1903-ND/101726","SWITCH SLIDE SPDT 200MA 30V","EG1903-ND","Slide Switches","EG1218","E-Switch","Active"
"11","1","U1","7555","New_Library:7555","555_Badge:ICM7555-PDIP","","","","","","","","","","",""
